HAT_NO;BASLIK;BASLAMA_TARIHI;BITIS_TARIHI
29;29-30-32 NO.LU HATLARDA İZSU ÇALIŞMASI;2026-02-17 00:00:00;2026-02-24 00:00:00
30;29-30-32 NO.LU HATLARDA İZSU ÇALIŞMASI;2026-02-17 00:00:00;2026-02-24 00:00:00
32;29-30-32 NO.LU HATLARDA İZSU ÇALIŞMASI;2026-02-17 00:00:00;2026-02-24 00:00:00
33;33 NO.LU HAT İZSU ÇALIŞMASI;2026-02-04 00:00:00;2026-02-23 12:00:00
34;34 VE 441 NO.LU HATLARDA GEÇİCİ GÜZERGAH DEĞİŞİKLİKLERİ;2026-01-21 14:45:00;2026-02-24 00:00:00
39;39 NO.LU HAT İZSU ÇALIŞMASI;2025-12-24 00:00:00;2026-03-02 00:00:00
74;74 NO.LU HATTIMIZDA GEÇİCİ GÜZERGAH DEĞİŞİKLİĞİ;2026-01-15 10:10:00;2026-02-28 00:00:00
176;176-177-304-536 VE 866 NO.LU HATLARDA GÜZERGAH DEĞİŞİKLİKLERİ;2025-12-17 14:40:00;2026-03-02 00:00:00
177;176-177-304-536 VE 866 NO.LU HATLARDA GÜZERGAH DEĞİŞİKLİKLERİ;2025-12-17 14:40:00;2026-03-02 00:00:00
253;ŞEHİTLER CADDESİ ALTYAPI ÇALIŞMASI;2026-02-05 00:00:00;2026-03-27 00:00:00
268;BORNOVA AKTARMA MERKEZİ DÜZENLEME PROJESI 268, 358, 368, 468 NO.LU HATLARIN GÜZERGAH DEĞİŞİKLİĞİ ;2026-01-15 19:35:00;2026-04-30 00:00:00
304;176-177-304-536 VE 866 NO.LU HATLARDA GÜZERGAH DEĞİŞİKLİKLERİ;2025-12-17 14:40:00;2026-03-02 00:00:00
358;BORNOVA AKTARMA MERKEZİ DÜZENLEME PROJESI 268, 358, 368, 468 NO.LU HATLARIN GÜZERGAH DEĞİŞİKLİĞİ ;2026-01-15 19:35:00;2026-04-30 00:00:00
368;BORNOVA AKTARMA MERKEZİ DÜZENLEME PROJESI 268, 358, 368, 468 NO.LU HATLARIN GÜZERGAH DEĞİŞİKLİĞİ ;2026-01-15 19:35:00;2026-04-30 00:00:00
441;34 VE 441 NO.LU HATLARDA GEÇİCİ GÜZERGAH DEĞİŞİKLİKLERİ;2026-01-21 14:45:00;2026-02-24 00:00:00
468;BORNOVA AKTARMA MERKEZİ DÜZENLEME PROJESI 268, 358, 368, 468 NO.LU HATLARIN GÜZERGAH DEĞİŞİKLİĞİ ;2026-01-15 19:35:00;2026-04-30 00:00:00
475;475-866-869 VE 874 NO.LU HATLAR GEÇİCİ GÜZERGAH DEĞİŞİKLİKLERİ;2025-12-05 14:45:00;2026-02-24 00:00:00
502;Yağışlı havalarda geçerli olmak üzere, İzmir Bayraklı Şehir Hastanesi yerleşkesi içerisinde bulunan taşıt yollarının fiziki durumunun trafik güvenliği açısından risk oluşturması nedeniyle, hastane içerisinde hizmet veren hatlarımız üst kotta bulunan Poliklinik 1 girişine yakın konumda geçici duraktan hizmet verecek olup, Poliklinik 1 ve Poliklinik 2 durakları kullanılmayacaktır.;2026-02-13 00:00:00;2026-07-01 10:59:00
503;BAYRAKLI MUHİTTİN ERENER 2143 SOKAK ALTYAPI ÇALIŞMASI ;2026-01-16 00:00:00;2026-02-19 00:00:00
515;"Hattımız 32242 id Numaralı ""Hastane"" durağından geçici olarak hizmet verememektedir.";2025-12-29 11:40:00;2026-02-21 11:40:00
532;Yağışlı havalarda geçerli olmak üzere, İzmir Bayraklı Şehir Hastanesi yerleşkesi içerisinde bulunan taşıt yollarının fiziki durumunun trafik güvenliği açısından risk oluşturması nedeniyle, hastane içerisinde hizmet veren hatlarımız üst kotta bulunan Poliklinik 1 girişine yakın konumda geçici duraktan hizmet verecek olup, Poliklinik 1 ve Poliklinik 2 durakları kullanılmayacaktır.;2026-02-13 00:00:00;2026-07-01 10:59:00
533;Yağışlı havalarda geçerli olmak üzere, İzmir Bayraklı Şehir Hastanesi yerleşkesi içerisinde bulunan taşıt yollarının fiziki durumunun trafik güvenliği açısından risk oluşturması nedeniyle, hastane içerisinde hizmet veren hatlarımız üst kotta bulunan Poliklinik 1 girişine yakın konumda geçici duraktan hizmet verecek olup, Poliklinik 1 ve Poliklinik 2 durakları kullanılmayacaktır.;2026-02-13 00:00:00;2026-07-01 10:59:00
534;Yağışlı havalarda geçerli olmak üzere, İzmir Bayraklı Şehir Hastanesi yerleşkesi içerisinde bulunan taşıt yollarının fiziki durumunun trafik güvenliği açısından risk oluşturması nedeniyle, hastane içerisinde hizmet veren hatlarımız üst kotta bulunan Poliklinik 1 girişine yakın konumda geçici duraktan hizmet verecek olup, Poliklinik 1 ve Poliklinik 2 durakları kullanılmayacaktır.;2026-02-13 00:00:00;2026-07-01 10:59:00
535;Yağışlı havalarda geçerli olmak üzere, İzmir Bayraklı Şehir Hastanesi yerleşkesi içerisinde bulunan taşıt yollarının fiziki durumunun trafik güvenliği açısından risk oluşturması nedeniyle, hastane içerisinde hizmet veren hatlarımız üst kotta bulunan Poliklinik 1 girişine yakın konumda geçici duraktan hizmet verecek olup, Poliklinik 1 ve Poliklinik 2 durakları kullanılmayacaktır.;2026-02-13 00:00:00;2026-07-01 10:59:00
