DATE;INSTITUTION;FULL_FARE;STUDENT;TEACHER;SIXTY_YEARS_OLD;TICKET;CHILD;PERSONNEL;FREE
2015-06-01;Eshot;1447;925;35;0;0;0;0;237
2015-06-01;Izdeniz;0;3;0;0;0;0;0;2
2015-06-01;Izdeniz-Araba;0;0;0;0;0;0;0;0
2015-06-01;Izulas;928;961;19;0;0;0;0;185
2015-06-01;İzban;0;0;0;0;0;0;0;0
2015-06-01;Metro;2;6;0;0;0;0;0;11
2015-06-02;Eshot;22288;12413;655;0;0;0;0;3060
2015-06-02;Izdeniz;463;300;16;0;0;0;0;40
2015-06-02;Izdeniz-Araba;64;0;0;0;0;0;0;0
2015-06-02;Izulas;13250;8892;319;0;0;0;0;2108
2015-06-02;İzban;120;68;0;0;0;0;0;27
2015-06-02;Metro;95;54;4;0;0;0;0;11
2015-06-03;Eshot;90203;37176;1087;0;0;0;0;10934
2015-06-03;Izdeniz;2266;984;43;0;0;0;0;297
2015-06-03;Izdeniz-Araba;1867;72;1;0;0;0;0;25
2015-06-03;Izulas;25169;9913;335;0;0;0;0;2755
2015-06-03;İzban;3043;1111;41;0;0;0;0;130
2015-06-03;Metro;29341;14899;385;0;0;0;0;1123
2015-06-04;Eshot;22140;7740;283;0;0;0;0;2508
2015-06-04;Izdeniz-Araba;1449;0;0;0;0;0;0;0
2015-06-04;Izulas;48052;14839;515;0;0;0;0;5512
2015-06-04;İzban;529;151;7;0;0;0;0;17
2015-06-04;Metro;18120;8841;215;0;0;0;0;505
2015-06-05;Eshot;19463;7899;512;0;0;0;0;2667
2015-06-05;Izdeniz;12862;3952;221;0;0;0;0;310
2015-06-05;Izdeniz-Araba;1495;0;0;0;0;0;0;0
2015-06-05;Izulas;41986;17154;984;0;0;0;0;5635
2015-06-05;İzban;26970;11485;830;0;0;0;0;1159
2015-06-05;Metro;21414;9986;364;0;0;0;0;746
2015-06-06;Eshot;17435;6895;245;0;0;0;0;2010
2015-06-06;Izdeniz;22842;6498;492;0;0;0;0;421
2015-06-06;Izdeniz-Araba;1593;0;0;0;0;0;0;0
2015-06-06;Izulas;41932;15621;526;0;0;0;0;5010
2015-06-06;İzban;47689;17429;730;0;0;0;0;1652
2015-06-06;Metro;9485;5089;202;0;0;0;0;361
2015-06-07;Eshot;10493;3863;126;0;0;0;0;1212
2015-06-07;Izdeniz;12341;3025;93;0;0;0;0;249
2015-06-07;Izdeniz-Araba;1400;0;0;0;0;0;0;0
2015-06-07;Izulas;26929;9872;361;0;0;0;0;3592
2015-06-07;İzban;37231;13597;507;0;0;0;0;1258
2015-06-07;Metro;38425;15248;523;0;0;0;0;1069
2015-06-08;Eshot;27977;10175;366;0;0;0;0;3042
2015-06-08;Izdeniz;21019;5474;469;0;0;0;0;485
2015-06-08;Izdeniz-Araba;1279;0;0;0;0;0;0;0
2015-06-08;Izulas;53257;17961;675;0;0;0;0;6416
2015-06-08;İzban;95016;33266;1752;0;0;0;0;2941
2015-06-08;Metro;148933;61376;2731;0;0;0;0;4670
2015-06-09;Eshot;226354;98763;5026;0;0;0;0;23665
2015-06-09;Izdeniz;23296;6073;293;0;0;0;0;527
2015-06-09;Izdeniz-Araba;1254;0;0;0;0;0;0;0
2015-06-09;Izulas;70261;30505;1549;0;0;0;0;7229
2015-06-09;İzban;168013;66966;3671;0;0;0;0;5824
2015-06-09;Metro;162369;70722;3065;0;0;0;0;5250
2015-06-10;Eshot;271940;121263;6205;0;29;0;0;37273
2015-06-10;Izdeniz;23135;6298;327;0;4;0;0;706
2015-06-10;Izdeniz-Araba;1464;0;0;0;0;0;0;0
2015-06-10;Izulas;72081;30947;1610;0;8;0;0;9593
2015-06-10;İzban;90469;37998;2197;0;2;0;0;4835
2015-06-10;Metro;103686;50424;2173;0;32;0;0;5384
2015-06-11;Eshot;291568;123165;6860;0;45;0;0;81560
2015-06-11;Izdeniz;25400;6292;389;0;2;0;0;2474
2015-06-11;Izdeniz-Araba;1369;0;0;0;0;0;0;0
2015-06-11;Izulas;79618;32130;1639;0;4;0;0;23355
2015-06-11;İzban;102398;41040;2599;0;13;0;0;11081
2015-06-11;Metro;136643;64150;2988;0;2;0;0;14579
2015-06-12;Eshot;325678;194896;7222;0;1;0;0;119605
2015-06-12;Izdeniz;25211;8988;514;0;3;0;0;3768
2015-06-12;Izdeniz-Araba;1678;0;0;0;0;0;0;0
2015-06-12;Izulas;87418;51561;1805;0;0;0;0;33509
2015-06-12;İzban;113837;61289;3054;0;23;0;0;17098
2015-06-12;Metro;144316;85862;3118;0;77;0;0;21217
2015-06-13;Eshot;273136;111713;3362;0;0;0;0;93121
2015-06-13;Izdeniz;22583;6720;479;0;0;0;0;2912
2015-06-13;Izdeniz-Araba;1705;0;0;0;0;0;0;0
2015-06-13;Izulas;75841;30369;780;0;0;0;0;26745
2015-06-13;İzban;126049;48728;2163;0;0;0;0;18878
2015-06-13;Metro;124039;52790;2066;0;0;0;0;17059
2015-06-14;Eshot;196240;88050;3017;0;83;0;0;73635
2015-06-14;Izdeniz;18548;5296;258;0;1;0;0;1816
2015-06-14;Izdeniz-Araba;1520;0;0;0;0;0;0;0
2015-06-14;Izulas;54102;24298;723;0;1;0;0;22124
2015-06-14;İzban;87782;35241;1505;0;0;0;0;12588
2015-06-14;Metro;86105;41441;2075;0;0;0;0;11794
2015-06-15;Eshot;334156;144686;8278;0;4;0;0;126323
2015-06-15;Izdeniz;26434;7041;475;0;0;0;0;3962
2015-06-15;Izdeniz-Araba;1401;0;0;0;0;0;0;0
2015-06-15;Izulas;88862;37099;1986;0;4;0;0;36741
2015-06-15;İzban;131094;52883;3400;0;5;0;0;23136
2015-06-15;Metro;147549;68962;3484;0;5;0;0;24379
2015-06-16;Eshot;358157;160134;8619;0;31;0;0;130495
2015-06-16;Izdeniz;25956;7115;476;0;2;0;0;4012
2015-06-16;Izdeniz-Araba;1273;0;0;0;0;0;0;0
2015-06-16;Izulas;84963;37391;1950;0;0;0;0;35899
2015-06-16;İzban;117064;49641;3276;0;0;0;0;19972
2015-06-16;Metro;144780;67887;3660;0;0;0;0;24629
2015-06-17;Eshot;392490;178412;9483;0;29;0;0;134859
2015-06-17;Izdeniz;27916;8165;594;0;4;0;0;4141
2015-06-17;Izdeniz-Araba;1431;0;0;0;0;0;0;0
2015-06-17;Izulas;92081;40829;2114;0;0;0;0;36651
2015-06-17;İzban;120464;51650;3148;0;0;0;0;19878
2015-06-17;Metro;150885;72458;3977;0;0;0;0;25244
2015-06-18;Eshot;299268;130414;8160;0;43;0;0;110377
2015-06-18;Izdeniz;21360;5366;510;0;5;0;0;3426
2015-06-18;Izdeniz-Araba;1327;0;0;0;0;0;0;0
2015-06-18;Izulas;75439;32030;1969;0;0;0;0;30924
2015-06-18;İzban;109510;43856;3345;0;1;0;0;17947
2015-06-18;Metro;130660;55240;3527;0;0;0;0;22763
2015-06-19;Eshot;298971;127400;7772;0;67;0;0;111554
2015-06-19;Izdeniz;19404;4978;341;0;7;0;0;2856
2015-06-19;Izdeniz-Araba;1373;0;0;0;0;0;0;0
2015-06-19;Izulas;76521;31780;1842;0;1;0;0;31891
2015-06-19;İzban;102795;41226;2992;0;27;0;0;16682
2015-06-19;Metro;127464;54947;3190;0;32;0;0;20941
2015-06-20;Eshot;285996;118282;4040;0;732;0;0;94372
2015-06-20;Izdeniz;22904;6475;612;0;1869;0;0;2953
2015-06-20;Izdeniz-Araba;1294;0;0;0;0;0;0;0
2015-06-20;Izulas;68064;28058;673;0;102;0;0;25410
2015-06-20;İzban;105726;40896;1737;0;2221;0;0;15095
2015-06-20;Metro;120400;49786;1986;0;3104;0;0;16954
2015-06-21;Eshot;194620;85220;2878;0;923;0;0;69688
2015-06-21;Izdeniz;14700;4323;217;0;1820;0;0;1475
2015-06-21;Izdeniz-Araba;1237;0;0;0;0;0;0;0
2015-06-21;Izulas;50753;23257;637;0;120;0;0;20451
2015-06-21;İzban;79408;30933;1342;0;1764;0;0;10843
2015-06-21;Metro;80869;36996;1727;0;2616;0;0;10913
2015-06-22;Eshot;348154;139620;8681;0;1108;0;0;128294
2015-06-22;Izdeniz;24984;6254;514;0;1194;0;0;3779
2015-06-22;Izdeniz-Araba;1243;0;0;0;0;0;0;0
2015-06-22;Izulas;90970;37343;2188;0;184;0;0;37452
2015-06-22;İzban;122995;48159;3526;0;2183;0;0;20435
2015-06-22;Metro;147127;65452;3720;0;3604;0;0;24520
2015-06-23;Eshot;340775;136330;9006;0;1296;0;0;121836
2015-06-23;Izdeniz;25063;6350;535;0;1113;0;0;3859
2015-06-23;Izdeniz-Araba;1278;0;0;0;0;0;0;0
2015-06-23;Izulas;86545;35898;2098;0;202;0;0;34766
2015-06-23;İzban;118586;45379;3410;0;1833;0;0;19725
2015-06-23;Metro;159081;69739;4036;0;3275;0;0;25725
2015-06-24;Eshot;349093;136823;8855;0;1215;0;0;126409
2015-06-24;Izdeniz;25790;6436;575;0;1235;0;0;3706
2015-06-24;Izdeniz-Araba;1412;0;0;0;0;0;0;0
2015-06-24;Izulas;86031;35018;2081;0;176;0;0;34380
2015-06-24;İzban;118288;44348;3348;0;2213;0;0;19484
2015-06-24;Metro;145732;62271;3830;0;3083;0;0;24126
2015-06-25;Eshot;354633;140777;9150;0;1142;0;0;125280
2015-06-25;Izdeniz;26467;6683;684;0;1344;0;0;3918
2015-06-25;Izdeniz-Araba;1287;0;0;0;0;0;0;0
2015-06-25;Izulas;88606;36628;2039;0;178;0;0;34731
2015-06-25;İzban;122209;46207;3509;0;2415;0;0;20546
2015-06-25;Metro;151418;64283;4019;0;3030;0;0;25611
2015-06-26;Eshot;337250;133737;8389;0;1106;0;0;119831
2015-06-26;Izdeniz;24827;6372;513;0;1362;0;0;3598
2015-06-26;Izdeniz-Araba;1466;0;0;0;0;0;0;0
2015-06-26;Izulas;86488;35067;2012;0;162;0;0;34426
2015-06-26;İzban;118429;44843;3320;0;2231;0;0;19236
2015-06-26;Metro;146578;62806;3648;0;2946;0;0;23671
2015-06-27;Eshot;248943;94508;2992;0;1048;0;0;78937
2015-06-27;Izdeniz;13163;3195;230;0;1225;0;0;1796
2015-06-27;Izdeniz-Araba;928;0;0;0;0;0;0;0
2015-06-27;Izulas;63904;24950;561;0;172;0;0;22442
2015-06-27;İzban;94684;33077;1375;0;2129;0;0;13576
2015-06-27;Metro;109253;40204;1543;0;2954;0;0;15562
2015-06-28;Eshot;187516;78657;2455;0;890;0;0;73162
2015-06-28;Izdeniz;17380;4811;255;0;1834;0;0;1690
2015-06-28;Izdeniz-Araba;1122;0;0;0;0;0;0;0
2015-06-28;Izulas;46122;19911;472;0;105;0;0;20202
2015-06-28;İzban;81205;29984;1177;0;2170;0;0;11842
2015-06-28;Metro;72775;30384;1155;0;2373;0;0;10791
2015-06-29;Eshot;316998;128077;4583;0;1271;0;0;109344
2015-06-29;Izdeniz;25020;6618;467;0;1230;0;0;3647
2015-06-29;Izdeniz-Araba;1025;0;0;0;0;0;0;0
2015-06-29;Izulas;79066;32742;928;0;201;0;0;30734
2015-06-29;İzban;111328;43292;1844;0;2322;0;0;18111
2015-06-29;Metro;149695;60044;2408;0;3007;0;0;24922
2015-06-30;Eshot;350509;137620;5053;0;1386;0;0;116001
2015-06-30;Izdeniz;26426;6736;451;0;1285;0;0;3786
2015-06-30;Izdeniz-Araba;1289;0;0;0;0;0;0;0
2015-06-30;Izulas;80801;31807;911;0;138;0;0;29769
2015-06-30;İzban;121459;45626;2042;0;2452;0;0;19697
2015-06-30;Metro;151599;58877;2403;0;2418;0;0;24034
2015-07-01;Eshot;352780;139384;4874;0;1302;0;0;121026
2015-07-01;Izdeniz;27157;7001;456;0;1415;0;0;3904
2015-07-01;Izdeniz-Araba;1343;0;0;0;0;0;0;0
2015-07-01;Izulas;76526;30705;912;0;150;0;0;29628
2015-07-01;İzban;122923;46519;2078;0;2426;0;0;19656
2015-07-01;Metro;149641;58845;2386;0;2624;0;0;23991
2015-07-02;Eshot;344992;136331;4878;0;1239;0;0;117035
2015-07-02;Izdeniz;26074;6475;460;0;1377;0;0;4075
2015-07-02;Izdeniz-Araba;1230;0;0;0;0;0;0;0
2015-07-02;Izulas;74138;30338;848;0;138;0;0;27642
2015-07-02;İzban;120610;44153;1945;0;2151;0;0;19621
2015-07-02;Metro;152836;58935;2570;0;2666;0;0;26759
2015-07-03;Eshot;354178;139326;4448;0;1265;0;0;119875
2015-07-03;Izdeniz;25399;6514;380;0;1415;0;0;3491
2015-07-03;Izdeniz-Araba;1364;0;0;0;0;0;0;0
2015-07-03;Izulas;75020;30019;761;0;127;0;0;28392
2015-07-03;İzban;121300;44235;1805;0;2320;0;0;19160
2015-07-03;Metro;147092;56754;2253;0;2467;0;0;23747
2015-07-04;Eshot;378968;145672;5290;0;1392;0;0;122916
2015-07-04;Izdeniz;21907;5586;314;0;1869;0;0;2605
2015-07-04;Izdeniz-Araba;1279;0;0;0;0;0;0;0
2015-07-04;Izulas;70038;26839;721;0;159;0;0;23435
2015-07-04;İzban;112334;38799;1619;0;2325;0;0;15707
2015-07-04;Metro;138098;50000;3117;0;2651;0;0;19572
2015-07-05;Eshot;211638;84628;1957;0;1206;0;0;73563
2015-07-05;Izdeniz;17204;4369;188;0;1830;0;0;1707
2015-07-05;Izdeniz-Araba;1136;0;0;0;0;0;0;0
2015-07-05;Izulas;43100;17573;283;0;142;0;0;17116
2015-07-05;İzban;89498;32107;930;0;2193;0;0;11959
2015-07-05;Metro;78405;30150;806;0;2017;0;0;11012
2015-07-06;Eshot;387134;162992;4811;0;1579;0;0;128465
2015-07-06;Izdeniz;26030;6438;362;0;1204;0;0;3771
2015-07-06;Izdeniz-Araba;1315;0;0;0;0;0;0;0
2015-07-06;Izulas;78263;32028;815;0;123;0;0;29509
2015-07-06;İzban;130168;49068;1926;0;2475;0;0;20714
2015-07-06;Metro;156754;61275;2250;0;2659;0;0;25786
2015-07-07;Eshot;386706;164508;4974;0;1463;0;0;122393
2015-07-07;Izdeniz;26324;6464;302;0;1297;0;0;3548
2015-07-07;Izdeniz-Araba;1239;0;0;0;0;0;0;0
2015-07-07;Izulas;77436;32133;784;0;178;0;0;27303
2015-07-07;İzban;126297;47521;1875;0;2438;0;0;19888
2015-07-07;Metro;155113;61146;2307;0;2633;0;0;24494
2015-07-08;Eshot;379202;161680;4659;0;1422;0;0;121082
2015-07-08;Izdeniz;26350;6806;346;0;1213;0;0;3314
2015-07-08;Izdeniz-Araba;1373;0;0;0;0;0;0;0
2015-07-08;Izulas;79838;34468;872;0;164;0;0;27754
2015-07-08;İzban;126702;48177;1855;0;2156;0;0;18957
2015-07-08;Metro;151126;60533;2087;0;2481;0;0;22878
2015-07-09;Eshot;367274;154593;4281;0;1383;0;0;113762
2015-07-09;Izdeniz;24064;6262;298;0;1243;0;0;3143
2015-07-09;Izdeniz-Araba;1414;0;0;0;0;0;0;0
2015-07-09;Izulas;78577;32839;756;0;154;0;0;26117
2015-07-09;İzban;124800;47698;1657;0;2116;0;0;19036
2015-07-09;Metro;152624;60097;2052;0;2510;0;0;23989
2015-07-10;Eshot;359521;150306;4151;0;1560;0;0;113334
2015-07-10;Izdeniz;24168;6306;317;0;1511;0;0;3153
2015-07-10;Izdeniz-Araba;1411;0;0;0;0;0;0;0
2015-07-10;Izulas;81310;33439;811;0;197;0;0;28268
2015-07-10;İzban;125500;47457;1657;0;2533;0;0;18585
2015-07-10;Metro;149315;58147;1875;0;2766;0;0;22857
2015-07-11;Eshot;296560;113479;2426;0;1588;0;0;86667
2015-07-11;Izdeniz;21559;5809;269;0;1620;0;0;2312
2015-07-11;Izdeniz-Araba;1249;0;0;0;0;0;0;0
2015-07-11;Izulas;69602;26604;483;0;190;0;0;22138
2015-07-11;İzban;112670;39196;1139;0;2297;0;0;14624
2015-07-11;Metro;128127;45633;1329;0;3185;0;0;16951
2015-07-12;Eshot;217227;87835;2078;0;1360;0;0;71598
2015-07-12;Izdeniz;18280;5112;149;0;2739;0;0;1463
2015-07-12;Izdeniz-Araba;1093;0;0;0;0;0;0;0
2015-07-12;Izulas;54019;21570;482;0;189;0;0;19254
2015-07-12;İzban;100488;36787;1263;0;2233;0;0;12048
2015-07-12;Metro;96949;37458;1405;0;3649;0;0;11698
2015-07-13;Eshot;371783;149911;4266;0;1572;0;0;125516
2015-07-13;Izdeniz;26270;6451;307;0;1505;0;0;3471
2015-07-13;Izdeniz-Araba;1297;0;0;0;0;0;0;0
2015-07-13;Izulas;83796;33172;811;0;147;0;0;30680
2015-07-13;İzban;127651;47002;1606;0;2089;0;0;19683
2015-07-13;Metro;155627;60598;2074;0;2562;0;0;25531
2015-07-14;Eshot;375156;152815;4147;0;1462;0;0;123638
2015-07-14;Izdeniz;26418;6620;355;0;1256;0;0;3413
2015-07-14;Izdeniz-Araba;1319;0;0;0;0;0;0;0
2015-07-14;Izulas;85090;33985;754;0;154;0;0;31371
2015-07-14;İzban;134343;50646;1821;0;1262;0;0;19946
2015-07-14;Metro;156648;61217;1992;0;2567;0;0;24345
2015-07-15;Eshot;399629;156254;4943;0;1553;0;0;140098
2015-07-15;Izdeniz;27239;6830;351;0;1508;0;0;3201
2015-07-15;Izdeniz-Araba;1423;0;0;0;0;0;0;0
2015-07-15;Izulas;86327;33051;909;0;153;0;0;34854
2015-07-15;İzban;134795;49112;1727;0;1880;0;0;20029
2015-07-15;Metro;157761;60614;2220;0;2550;0;0;24721
2015-07-16;Eshot;292464;98432;2284;0;1224;0;0;105215
2015-07-16;Izdeniz;21064;4310;151;0;1482;0;0;2088
2015-07-16;Izdeniz-Araba;1089;0;0;0;0;0;0;0
2015-07-16;Izulas;68913;23606;501;0;155;0;0;27775
2015-07-16;İzban;106493;33901;925;0;2064;0;0;15047
2015-07-16;Metro;118783;36505;1062;0;2212;0;0;17769
2015-07-17;Eshot;246943;86583;1554;0;710;0;0;46331
2015-07-17;Izdeniz;25215;6613;142;0;2019;0;0;1461
2015-07-17;Izdeniz-Araba;1306;0;0;0;0;0;0;0
2015-07-17;Izulas;57340;20770;315;0;90;0;0;11742
2015-07-17;İzban;105078;31812;672;0;1791;0;0;9172
2015-07-17;Metro;83859;27533;612;0;1411;0;0;8250
2015-07-18;Eshot;278838;91594;1483;0;930;0;0;61380
2015-07-18;Izdeniz;31288;6823;186;0;2801;0;0;2189
2015-07-18;Izdeniz-Araba;1304;0;0;0;0;0;0;0
2015-07-18;Izulas;63656;21038;350;0;102;0;0;15967
2015-07-18;İzban;122288;36252;748;0;1714;0;0;12491
2015-07-18;Metro;92123;29806;593;0;1548;0;0;10773
2015-07-19;Eshot;260809;88005;1477;0;1112;0;0;64962
2015-07-19;Izdeniz;27150;6066;184;0;2565;0;0;1985
2015-07-19;Izdeniz-Araba;1293;0;0;0;0;0;0;0
2015-07-19;Izulas;64015;21653;313;0;111;0;0;17587
2015-07-19;İzban;116593;36516;781;0;1940;0;0;12641
2015-07-19;Metro;89530;30277;666;0;1601;0;0;10897
2015-07-20;Eshot;376415;144283;3942;0;1432;0;0;120465
2015-07-20;Izdeniz;29956;7011;325;0;2288;0;0;3214
2015-07-20;Izdeniz-Araba;1321;0;0;0;0;0;0;0
2015-07-20;Izulas;85109;31840;769;0;218;0;0;30131
2015-07-20;İzban;134061;47459;1496;0;2480;0;0;19386
2015-07-20;Metro;151853;55885;1794;0;2618;0;0;23201
2015-07-21;Eshot;381285;149642;3898;0;1597;0;0;118902
2015-07-21;Izdeniz;28404;7042;309;0;2446;0;0;3319
2015-07-21;Izdeniz-Araba;1355;0;0;0;0;0;0;0
2015-07-21;Izulas;85620;32002;743;0;189;0;0;29186
2015-07-21;İzban;133013;47616;1465;0;2717;0;0;19229
2015-07-21;Metro;153373;58572;1843;0;2802;0;0;22763
2015-07-22;Eshot;395460;154054;3994;0;1556;0;0;125832
2015-07-22;Izdeniz;30466;7628;321;0;2505;0;0;3336
2015-07-22;Izdeniz-Araba;1425;0;0;0;0;0;0;0
2015-07-22;Izulas;84497;32428;769;0;186;0;0;29023
2015-07-22;İzban;135411;48007;1598;0;2649;0;0;19730
2015-07-22;Metro;152828;58004;1717;0;3016;0;0;22453
2015-07-23;Eshot;375608;145637;3717;0;1599;0;0;115718
2015-07-23;Izdeniz;27735;6827;394;0;2111;0;0;3101
2015-07-23;Izdeniz-Araba;1336;0;0;0;0;0;0;0
2015-07-23;Izulas;82823;32002;722;0;195;0;0;26900
2015-07-23;İzban;130552;46753;1498;0;2405;0;0;19367
2015-07-23;Metro;151444;57673;1847;0;2953;0;0;22763
2015-07-24;Eshot;381442;147918;3770;0;1877;0;0;119669
2015-07-24;Izdeniz;27663;6789;338;0;2341;0;0;3133
2015-07-24;Izdeniz-Araba;1531;0;0;0;0;0;0;0
2015-07-24;Izulas;81676;31403;761;0;203;0;0;27975
2015-07-24;İzban;130371;46179;1485;0;2686;0;0;19096
2015-07-24;Metro;147437;55180;1729;0;3060;0;0;21568
2015-07-25;Eshot;305701;111746;2316;0;1749;0;0;90430
2015-07-25;Izdeniz;24239;6462;289;0;2884;0;0;2268
2015-07-25;Izdeniz-Araba;1277;0;0;0;0;0;0;0
2015-07-25;Izulas;70670;26384;483;0;195;0;0;22442
2015-07-25;İzban;116135;38799;1148;0;2286;0;0;15697
2015-07-25;Metro;125190;43671;1244;0;3534;0;0;16495
2015-07-26;Eshot;214392;82463;1912;0;1577;0;0;70499
2015-07-26;Izdeniz;17965;4599;118;0;3094;0;0;1528
2015-07-26;Izdeniz-Araba;1154;0;0;0;0;0;0;0
2015-07-26;Izulas;49830;19816;444;0;189;0;0;17916
2015-07-26;İzban;99123;33886;1038;0;2379;0;0;12299
2015-07-26;Metro;84990;34445;1220;0;3636;0;0;10797
2015-07-27;Eshot;377535;147695;3941;0;1840;0;0;122924
2015-07-27;Izdeniz;29117;6833;339;0;1709;0;0;3519
2015-07-27;Izdeniz-Araba;1363;0;0;0;0;0;0;0
2015-07-27;Izulas;86662;33542;784;0;225;0;0;29740
2015-07-27;İzban;130860;46233;1607;0;2751;0;0;20333
2015-07-27;Metro;153978;59729;1917;0;3715;0;0;24094
2015-07-28;Eshot;369114;145776;3836;0;1378;0;0;115080
2015-07-28;Izdeniz;29052;6387;282;0;702;0;0;3246
2015-07-28;Izdeniz-Araba;1389;0;0;0;0;0;0;0
2015-07-28;Izulas;88458;34470;795;0;201;0;0;28983
2015-07-28;İzban;126582;45323;1541;0;2593;0;0;18935
2015-07-28;Metro;148438;58115;1745;0;3346;0;0;22418
2015-07-29;Eshot;366045;147257;3804;0;1456;0;0;113561
2015-07-29;Izdeniz;28802;6613;310;0;829;0;0;3068
2015-07-29;Izdeniz-Araba;1412;0;0;0;0;0;0;0
2015-07-29;Izulas;83695;33549;709;0;210;0;0;27616
2015-07-29;İzban;123791;45549;1449;0;2450;0;0;17729
2015-07-29;Metro;143669;58369;1665;0;3173;0;0;20776
2015-07-30;Eshot;347346;139689;3599;0;1269;0;0;107533
2015-07-30;Izdeniz;25549;5878;309;0;2015;0;0;2841
2015-07-30;Izdeniz-Araba;1384;0;0;0;0;0;0;0
2015-07-30;Izulas;79834;32237;653;0;192;0;0;25301
2015-07-30;İzban;123508;45256;1500;0;2706;0;0;17793
2015-07-30;Metro;143970;56810;1744;0;3446;0;0;21692
2015-07-31;Eshot;402045;160158;3997;0;1530;0;0;125502
2015-07-31;Izdeniz;26022;6472;270;0;2069;0;0;2872
2015-07-31;Izdeniz-Araba;1558;0;0;0;0;0;0;0
2015-07-31;Izulas;86188;34198;767;0;177;0;0;28666
2015-07-31;İzban;148646;54202;1743;0;3259;0;0;21232
2015-07-31;Metro;140582;55270;1622;0;3311;0;0;20535
2015-08-01;Eshot;300663;110979;2259;0;1344;0;0;90136
2015-08-01;Izdeniz;21847;5424;230;0;2642;0;0;2326
2015-08-01;Izdeniz-Araba;1318;0;0;0;0;0;0;0
2015-08-01;Izulas;66596;24553;435;0;192;0;0;22053
2015-08-01;İzban;118080;39438;1054;0;2541;0;0;15785
2015-08-01;Metro;117257;41531;1068;0;2994;0;0;16250
2015-08-02;Eshot;224085;86720;1674;0;1157;0;0;74006
2015-08-02;Izdeniz;17054;4223;139;0;2520;0;0;1572
2015-08-02;Izdeniz-Araba;1106;0;0;0;0;0;0;0
2015-08-02;Izulas;46691;17807;286;0;176;0;0;17340
2015-08-02;İzban;97819;33642;768;0;2217;0;0;12374
2015-08-02;Metro;73919;27795;604;0;2526;0;0;10209
2015-08-03;Eshot;391769;150127;3997;0;2008;0;0;129049
2015-08-03;Izdeniz;27571;6265;347;0;2627;0;0;3267
2015-08-03;Izdeniz-Araba;1366;0;0;0;0;0;0;0
2015-08-03;Izulas;83592;30903;696;0;226;0;0;29554
2015-08-03;İzban;145582;50712;1799;0;3418;0;0;21354
2015-08-03;Metro;154672;58456;1969;0;4496;0;0;24083
2015-08-04;Eshot;406269;155061;4051;0;2012;0;0;128992
2015-08-04;Izdeniz;28159;6251;303;0;2595;0;0;3392
2015-08-04;Izdeniz-Araba;1286;0;0;0;0;0;0;0
2015-08-04;Izulas;84504;31990;771;0;209;0;0;29419
2015-08-04;İzban;142874;49921;1728;0;3662;0;0;21125
2015-08-04;Metro;155784;59259;2110;0;4436;0;0;23800
2015-08-05;Eshot;398657;152711;4136;0;2371;0;0;126371
2015-08-05;Izdeniz;29650;7066;322;0;2974;0;0;3350
2015-08-05;Izdeniz-Araba;1497;0;0;0;0;0;0;0
2015-08-05;Izulas;88377;33957;748;0;268;0;0;30044
2015-08-05;İzban;143093;49999;1652;0;3774;0;0;20488
2015-08-05;Metro;154580;59189;1869;0;3998;0;0;22936
2015-08-06;Eshot;383496;147132;3881;0;2320;0;0;119607
2015-08-06;Izdeniz;25162;6021;311;0;2714;0;0;3026
2015-08-06;Izdeniz-Araba;1318;0;0;0;0;0;0;0
2015-08-06;Izulas;83308;31471;701;0;274;0;0;27752
2015-08-06;İzban;140515;49268;1740;0;3980;0;0;20815
2015-08-06;Metro;153135;57852;1833;0;4596;0;0;23259
2015-08-07;Eshot;382925;147103;4093;0;2166;0;0;122367
2015-08-07;Izdeniz;27082;6709;305;0;2964;0;0;3146
2015-08-07;Izdeniz-Araba;1625;0;0;0;0;0;0;0
2015-08-07;Izulas;83036;30948;771;0;239;0;0;29154
2015-08-07;İzban;140271;49441;1726;0;4018;0;0;19741
2015-08-07;Metro;150041;56923;1743;0;4328;0;0;22113
2015-08-08;Eshot;314761;115555;3295;0;1731;0;0;92792
2015-08-08;Izdeniz;23720;6051;314;0;3358;0;0;2550
2015-08-08;Izdeniz-Araba;1288;0;0;0;0;0;0;0
2015-08-08;Izulas;72918;27023;588;0;230;0;0;23719
2015-08-08;İzban;123663;39486;1342;0;3033;0;0;16325
2015-08-08;Metro;123063;41731;1355;0;3817;0;0;16562
2015-08-09;Eshot;229482;87078;2384;0;1626;0;0;75762
2015-08-09;Izdeniz;19450;5015;258;0;2946;0;0;1876
2015-08-09;Izdeniz-Araba;1188;0;0;0;0;0;0;0
2015-08-09;Izulas;50703;19300;418;0;171;0;0;19017
2015-08-09;İzban;103282;34370;1134;0;3071;0;0;13089
2015-08-09;Metro;80538;29775;791;0;3108;0;0;10968
2015-08-10;Eshot;402702;153719;4294;0;2296;0;0;128704
2015-08-10;Izdeniz;27809;6660;344;0;2701;0;0;3540
2015-08-10;Izdeniz-Araba;1364;0;0;0;0;0;0;0
2015-08-10;Izulas;89004;34216;852;0;299;0;0;31792
2015-08-10;İzban;144806;51118;1803;0;4062;0;0;21397
2015-08-10;Metro;157384;59719;1987;0;4469;0;0;24890
