DATE;INSTITUTION;FULL_FARE;STUDENT;TEACHER;SIXTY_YEARS_OLD;TICKET;CHILD;PERSONNEL;FREE;BANK CARD
1.01.2021;Izdeniz;46;7;0;0;3;0;14;5;0
1.01.2021;Tramvay Konak;701;132;0;12;2;0;195;71;0
1.01.2021;Metro Maskematik;38;1;0;3;0;0;0;0;0
1.01.2021;Seferihisar Mot. Taþ. Kooperat;221;24;0;5;0;0;43;30;0
1.01.2021;Ýzban;7297;1206;5;110;105;0;747;857;0
1.01.2021;Ýzdeniz Maskematik;1;0;4;0;0;0;0;0;0
1.01.2021;Izulas;6;0;0;1;0;0;0;0;0
1.01.2021;Metro;4992;1014;0;112;50;0;598;568;0
1.01.2021;Tramvay Karþýyaka;146;28;0;4;0;0;25;9;0
1.01.2021;Eshot;20972;3159;6;466;65;0;3962;2319;0
2.01.2021;Tramvay Karþýyaka;189;37;0;2;0;0;25;9;0
2.01.2021;Tramvay Konak;1019;165;2;17;5;0;236;62;0
2.01.2021;Eshot;30506;4524;15;583;46;0;4607;2984;0
2.01.2021;Metro;7346;1389;6;180;56;0;628;704;0
2.01.2021;Ýzdeniz Maskematik;1;0;0;0;0;0;0;0;0
2.01.2021;Metro Maskematik;88;6;0;1;0;0;0;0;0
2.01.2021;Izdeniz;80;12;0;0;3;0;9;4;0
2.01.2021;Ýzban;10924;1893;12;153;96;0;805;1026;0
2.01.2021;Seferihisar Mot. Taþ. Kooperat;313;42;0;5;1;0;42;34;0
3.01.2021;Metro Maskematik;69;9;2;0;0;0;0;0;0
3.01.2021;Izdeniz;54;10;0;0;5;0;3;12;0
3.01.2021;Tramvay Karþýyaka;156;33;0;2;0;0;21;9;0
3.01.2021;Tramvay Konak;878;138;0;14;3;0;214;78;0
3.01.2021;Metro;5962;1126;6;131;55;0;535;577;0
3.01.2021;Ýzdeniz Maskematik;3;0;0;0;0;0;0;0;0
3.01.2021;Ýzban;9175;1531;10;118;152;0;713;912;0
3.01.2021;Eshot;24584;3683;20;464;99;0;3969;2531;0
3.01.2021;Seferihisar Mot. Taþ. Kooperat;238;33;0;4;0;0;35;27;0
4.01.2021;Izdeniz;14556;2998;134;437;334;0;535;821;0
4.01.2021;Izulas;56379;12473;331;2325;32;0;3466;7698;0
4.01.2021;Metro;87419;20558;597;3265;441;0;4264;6776;0
4.01.2021;Seferihisar Mot. Taþ. Kooperat;2771;423;18;95;4;0;169;389;0
4.01.2021;Metro Maskematik;955;54;0;14;0;0;0;0;0
4.01.2021;Tramvay Karþýyaka;5777;1426;83;252;29;0;167;355;0
4.01.2021;Ýzdeniz Maskematik;140;14;3;6;0;0;0;0;0
4.01.2021;BÝSÝM;8;2;2;0;0;0;0;0;0
4.01.2021;Ýzmir BB - Atik Yönetimi DB;401;104;8;6;0;0;0;78;0
4.01.2021;NOSTALJÝK TRAMVAY;17;12;0;0;0;0;0;0;0
4.01.2021;Ýzban;84944;18475;633;2130;333;0;3395;6925;0
4.01.2021;Tramvay Konak;19458;4809;216;794;37;0;1158;1462;0
4.01.2021;Eshot;225233;49507;1305;9491;293;0;15253;29890;0
5.01.2021;Ýzdeniz Maskematik;178;26;0;28;0;0;0;0;0
5.01.2021;Tramvay Konak;19043;4662;233;809;39;0;1085;1499;0
5.01.2021;Ýzban;77359;17319;583;2107;250;0;2987;6346;0
5.01.2021;Metro Maskematik;711;39;1;20;0;0;0;0;0
