date,bus_id,yon,trip_start_time,hour,day_of_week,from_stop_seq,to_stop_seq,from_stop_name,to_stop_name,travel_seconds,travel_minutes
2026-03-26,12110,0,14:04:21,14,3,8,7,Birkent 2,75.Yıl Parkı,33.0,0.55
2026-03-26,12110,0,14:04:21,14,3,7,6,75.Yıl Parkı,Cengizhan 75.Yıl Lisesi,96.0,1.6
2026-03-26,12110,0,14:04:21,14,3,6,5,Cengizhan 75.Yıl Lisesi,Sağlık Ocağı,33.0,0.55
2026-03-26,12110,0,14:04:21,14,3,5,4,Sağlık Ocağı,Yasemin,32.0,0.53
2026-03-26,12110,0,14:04:21,14,3,4,3,Yasemin,Yeşil Ulu Cami,96.0,1.6
2026-03-26,12110,0,14:04:21,14,3,3,2,Yeşil Ulu Cami,Borsa Okulu Eski Sondurak,64.0,1.07
2026-03-26,12137,0,14:09:11,14,3,27,26,Bölge İdare Mahkemesi,Üçüncü Sanayi,97.0,1.62
2026-03-26,12137,0,14:09:11,14,3,26,25,Üçüncü Sanayi,Adliye,228.0,3.8
2026-03-26,12137,0,14:09:11,14,3,25,24,Adliye,Halide Edip Adıvar,97.0,1.62
2026-03-26,12137,0,14:09:11,14,3,24,23,Halide Edip Adıvar,Bayraklı Depo,65.0,1.08
2026-03-26,12137,0,14:09:11,14,3,23,22,Bayraklı Depo,Manas,64.0,1.07
2026-03-26,12137,0,14:09:11,14,3,22,21,Manas,Smyrna,65.0,1.08
2026-03-26,12137,0,14:09:11,14,3,21,20,Smyrna,Piyale,32.0,0.53
2026-03-26,12140,1,14:15:41,14,3,27,26,Borsa Okulu Eski Sondurak,Yeşil Ulu Cami,129.0,2.15
2026-03-26,12140,1,14:15:41,14,3,26,25,Yeşil Ulu Cami,Yasemin,65.0,1.08
2026-03-26,12140,1,14:15:41,14,3,25,24,Yasemin,Sağlık Ocağı,32.0,0.53
2026-03-26,12140,1,14:15:41,14,3,24,23,Sağlık Ocağı,Cengizhan 75.Yıl Lisesi,96.0,1.6
