Yon,N,XGBoost (Improved) MAE,LSTM MAE,Random Forest (Improved) MAE,Yon_Label,Kosul Tipi,Zaman Dilimi,Hava Durumu,Durak Bolge
0.0,10957,0.3803,0.3834,0.3871,Halkapinar->Cengizhan,Yon,,,
1.0,5358,0.5398,0.5389,0.5414,Cengizhan->Halkapinar,Yon,,,
,2387,0.3876,0.3973,0.3985,,Zaman Dilimi,evening_peak,,
,3127,0.464,0.4639,0.4706,,Zaman Dilimi,morning_peak,,
,805,0.3655,0.3809,0.3878,,Zaman Dilimi,night,,
,9996,0.4391,0.4384,0.4409,,Zaman Dilimi,off_peak,,
,7013,0.4435,0.4484,0.4524,,Hava Durumu,,clear,
,8978,0.4184,0.4179,0.4203,,Hava Durumu,,cloudy,
,324,0.5949,0.5917,0.6054,,Hava Durumu,,rainy,
,6666,0.5412,0.5468,0.5466,,Durak Pozisyonu,,,Baslangic (0-33%)
,6198,0.3648,0.363,0.3698,,Durak Pozisyonu,,,Bitis (66-100%)
,3451,0.345,0.3459,0.3496,,Durak Pozisyonu,,,Orta (33-66%)
